"Pedigree","Env","Intercept","Pedigree_Fixed_Effect","Env_BLUP","GxE_BLUP","Predicted_BLUP","Species","Spec"
"BGV007921","Florida",2.54945048578384,1.33542754080597,-0.158169742006974,0.0520580210117462,1.22931581981075,"cerasiforme","SLC"
"BGV007921","Georgia",2.54945048578384,1.33542754080597,-0.0538083811384576,-0.0206467176968327,1.26097244197068,"cerasiforme","SLC"
"BGV007921","Valencia",2.54945048578384,1.33542754080597,0.0736763981025623,0.0207538679130418,1.42985780682158,"cerasiforme","SLC"
"BGV007927","Antalya",2.54945048578384,0.983479705450652,0.138301725037179,-0.10678783035575,1.01499360013208,"cerasiforme","SLC"
"BGV007927","Florida",2.54945048578384,0.983479705450652,-0.158169742006974,0.0526529561641432,0.877962919607821,"cerasiforme","SLC"
"BGV007927","Georgia",2.54945048578384,0.983479705450652,-0.0538083811384576,-0.0223673507172949,0.907303973594899,"cerasiforme","SLC"
"BGV007927","Valencia",2.54945048578384,0.983479705450652,0.0736763981025623,0.0765022249089021,1.13365832846212,"cerasiforme","SLC"
"BGV007931","Antalya",2.54945048578384,0.91500624140793,0.138301725037179,-0.0832760658159323,0.970031900629176,"cerasiforme","SLC"
"BGV007931","Florida",2.54945048578384,0.91500624140793,-0.158169742006974,0.0343508648383031,0.791187364239259,"cerasiforme","SLC"
"BGV007931","Georgia",2.54945048578384,0.91500624140793,-0.0538083811384576,0.00255764986488418,0.863755510134356,"cerasiforme","SLC"
"BGV007931","Valencia",2.54945048578384,0.91500624140793,0.0736763981025623,0.0463675511127427,1.03505019062323,"cerasiforme","SLC"
"BGV007933","Antalya",2.54945048578384,1.32784300415037,0.138301725037179,-0.0470530927309224,1.41909163645662,"cerasiforme","SLC"
"BGV007933","Florida",2.54945048578384,1.32784300415037,-0.158169742006974,0.0399436258619286,1.20961688800532,"cerasiforme","SLC"
"BGV007933","Georgia",2.54945048578384,1.32784300415037,-0.0538083811384576,0.0836550283866266,1.35768965139854,"cerasiforme","SLC"
"BGV007933","Valencia",2.54945048578384,1.32784300415037,0.0736763981025623,-0.0765455615176319,1.3249738407353,"cerasiforme","SLC"
"BGV007934","Antalya",2.54945048578384,1.10293593316065,0.138301725037179,-0.0971313176222975,1.14410634057553,"cerasiforme","SLC"
"BGV007934","Florida",2.54945048578384,1.10293593316065,-0.158169742006974,0.0136679037626739,0.958434094916346,"cerasiforme","SLC"
"BGV007934","Georgia",2.54945048578384,1.10293593316065,-0.0538083811384576,0.0682716314242116,1.1173991834464,"cerasiforme","SLC"
"BGV007934","Valencia",2.54945048578384,1.10293593316065,0.0736763981025623,0.0151917824354113,1.19180411369862,"cerasiforme","SLC"
"BGV007935","Antalya",2.54945048578384,1.16308572171451,0.138301725037179,-0.0250152072807449,1.27637223947094,"cerasiforme","SLC"
"BGV007935","Florida",2.54945048578384,1.16308572171451,-0.158169742006974,0.0236476157775062,1.02856359548504,"cerasiforme","SLC"
"BGV007935","Georgia",2.54945048578384,1.16308572171451,-0.0538083811384576,0.0013675915032403,1.11064493207929,"cerasiforme","SLC"
"BGV007936","Antalya",2.54945048578384,4.64974373625583,0.138301725037179,-0.0514156066742561,4.73662985461875,"lycopersicum","SLL"
"BGV007936","Florida",2.54945048578384,4.64974373625583,-0.158169742006974,-0.0141558394690043,4.47741815477985,"lycopersicum","SLL"
"BGV007936","Georgia",2.54945048578384,4.64974373625583,-0.0538083811384576,-0.0441379388806226,4.55179741623675,"lycopersicum","SLL"
"BGV007936","Valencia",2.54945048578384,4.64974373625583,0.0736763981025623,0.109709385023878,4.83312951938227,"lycopersicum","SLL"
"BGV007981","Antalya",2.54945048578384,2.27892778358798,0.138301725037179,0.013392982850018,2.43062249147518,"cerasiforme","SLC"
"BGV007981","Florida",2.54945048578384,2.27892778358798,-0.158169742006974,-0.0977561234281348,2.02300191815287,"cerasiforme","SLC"
"BGV007981","Georgia",2.54945048578384,2.27892778358798,-0.0538083811384576,-0.0502538249490013,2.17486557750052,"cerasiforme","SLC"
